EmployeeID,Age,Gender,Department,JobLevel,YearsAtCompany,TotalExperience,Salary,TrainingHours,ProjectsCompleted,OvertimeHours,JobSatisfaction,WorkLifeBalance,ManagerRating,Absences,PromotionsLast5Yr,LastReviewScore,DistanceFromOffice,PerformanceScore,PerformanceLabel,SalaryPerExperience,TrainingEfficiency,OverallSatisfaction,AbsenceRate,CompanyLoyalty,PromotionVelocity,JobLevel_Encoded,Gender_Encoded,Dept_Finance,Dept_HR,Dept_IT,Dept_Marketing,Dept_Operations,Dept_R&D,Dept_Sales
EMP0071,36,Male,IT,Mid,19,21,51548,97.0,11,2,5.0,2,5.0,16.0,1,6.3,79,2,Medium,2343.09,0.11,4.0,4.38,0.86,0.05,2,0,False,False,True,False,False,False,False
EMP0072,22,Male,IT,Manager,5,13,190601,29.0,7,11,5.0,3,2.0,20.0,3,6.1,31,2,Medium,13614.36,0.23,3.33,5.48,0.36,0.5,5,0,False,False,True,False,False,False,False
EMP0073,46,Female,Operations,Mid,15,19,72880,71.0,26,0,3.0,2,5.0,13.0,2,8.0,93,3,High,3644.0,0.36,3.33,3.56,0.75,0.125,2,1,False,False,False,False,True,False,False
EMP0074,28,Female,HR,Junior,2,9,33407,62.0,24,2,3.0,1,5.0,14.0,1,7.4,81,3,High,3340.7,0.38,3.0,3.84,0.2,0.333,1,1,False,True,False,False,False,False,False
EMP0075,30,Male,Marketing,Senior,9,17,113407,46.0,22,2,4.0,5,5.0,15.0,3,7.5,51,3,High,6300.39,0.47,4.67,4.11,0.5,0.3,3,0,False,False,False,True,False,False,False
EMP0076,45,Male,Sales,Mid,10,14,50172,25.0,25,4,4.0,2,1.0,12.0,3,8.0,29,2,Medium,3344.8,0.96,2.33,3.29,0.67,0.273,2,0,False,False,False,False,False,False,True
EMP0077,22,Female,IT,Junior,10,19,35666,56.0,19,18,4.0,3,1.0,26.0,0,5.0,15,2,Medium,1783.3,0.33,2.67,7.12,0.5,0.0,1,1,False,False,True,False,False,False,False
EMP0078,29,Male,Marketing,Mid,16,24,54354,36.0,26,0,4.0,5,1.0,8.0,0,5.3,90,2,Medium,2174.16,0.7,3.33,2.19,0.64,0.0,2,0,False,False,False,True,False,False,False
EMP0079,45,Male,Sales,Mid,3,4,70343,97.0,10,3,2.0,4,4.0,6.0,1,6.1,76,2,Medium,14068.6,0.1,3.33,1.64,0.6,0.25,2,0,False,False,False,False,False,False,True
EMP0080,32,Female,HR,Senior,3,11,105092,6.0,9,3,2.0,2,3.0,15.0,0,5.2,25,1,Low,8757.67,1.29,2.33,4.11,0.25,0.0,3,1,False,True,False,False,False,False,False
EMP0081,38,Female,Finance,Junior,16,19,40109,39.0,4,16,3.0,5,1.0,9.0,1,9.9,61,2,Medium,2005.45,0.1,3.0,2.47,0.8,0.059,1,1,True,False,False,False,False,False,False
EMP0082,29,Female,Finance,Junior,8,13,32886,91.0,23,13,4.0,4,5.0,23.0,1,8.7,41,3,High,2349.0,0.25,4.33,6.3,0.57,0.111,1,1,True,False,False,False,False,False,False
EMP0083,56,Female,Sales,Mid,18,23,52164,38.0,15,17,1.0,3,5.0,21.0,1,4.2,69,2,Medium,2173.5,0.38,3.0,5.75,0.75,0.053,2,1,False,False,False,False,False,False,True
EMP0084,56,Female,IT,Junior,4,9,33945,61.0,13,0,2.0,1,5.0,14.0,0,3.0,4,2,Medium,3394.5,0.21,2.67,3.84,0.4,0.0,1,1,False,False,True,False,False,False,False
EMP0085,54,Female,Finance,Senior,5,6,87746,91.0,25,15,1.0,2,5.0,21.0,2,3.3,57,2,Medium,12535.14,0.27,2.67,5.75,0.71,0.333,3,1,True,False,False,False,False,False,False
EMP0086,26,Male,Sales,Mid,2,8,61975,77.0,2,2,1.0,1,3.0,22.0,1,4.7,31,1,Low,6886.11,0.03,1.67,6.03,0.22,0.333,2,0,False,False,False,False,False,False,True
EMP0087,49,Male,Finance,Mid,0,5,68974,52.0,2,8,3.0,3,4.0,6.0,2,3.8,3,2,Medium,11495.67,0.04,3.33,1.64,0.0,2.0,2,0,True,False,False,False,False,False,False
EMP0088,28,Male,Marketing,Manager,19,19,160522,3.0,16,3,3.0,5,2.0,15.0,3,6.7,67,2,Medium,8026.1,4.0,3.33,4.11,0.95,0.15,5,0,False,False,False,True,False,False,False
EMP0089,30,Male,R&D,Senior,15,16,95596,81.0,9,4,2.0,5,2.0,8.0,0,9.0,90,2,Medium,5623.29,0.11,3.0,2.19,0.88,0.0,3,0,False,False,False,False,False,True,False
EMP0090,29,Female,IT,Junior,10,16,35185,24.0,28,10,4.0,3,1.0,26.0,0,8.2,50,2,Medium,2069.71,1.12,2.67,7.12,0.59,0.0,1,1,False,False,True,False,False,False,False
EMP0091,33,Male,Operations,Mid,12,12,51093,6.0,13,8,4.0,3,3.0,23.0,2,4.5,17,2,Medium,3930.23,1.86,3.33,6.3,0.92,0.154,2,0,False,False,False,False,True,False,False
EMP0092,55,Male,HR,Senior,9,9,83880,27.0,3,2,3.0,2,2.0,28.0,3,5.8,60,1,Low,8388.0,0.11,2.33,7.67,0.9,0.3,3,0,False,True,False,False,False,False,False
EMP0093,54,Male,IT,Senior,2,2,82785,68.0,9,5,2.0,4,4.0,16.0,3,6.6,74,2,Medium,27595.0,0.13,3.33,4.38,0.67,1.0,3,0,False,False,True,False,False,False,False
EMP0094,44,Male,Sales,Junior,8,15,44799,66.0,13,10,3.0,1,5.0,19.0,1,8.7,66,3,High,2799.94,0.19,3.0,5.21,0.5,0.111,1,0,False,False,False,False,False,False,True
EMP0095,45,Female,Marketing,Manager,11,14,180102,94.0,21,8,4.0,1,1.0,6.0,0,8.9,88,3,High,12006.8,0.22,2.0,1.64,0.73,0.0,5,1,False,False,False,True,False,False,False
EMP0096,58,Male,IT,Mid,13,16,67958,19.0,22,14,5.0,5,4.0,10.0,3,9.4,75,3,High,3997.53,1.1,4.67,2.74,0.76,0.214,2,0,False,False,True,False,False,False,False
EMP0097,56,Female,IT,Junior,0,1,46016,82.0,2,2,3.0,5,2.0,7.0,3,6.6,24,1,Low,23008.0,0.02,3.33,1.92,0.0,3.0,1,1,False,False,True,False,False,False,False
EMP0098,43,Male,Sales,Junior,17,17,44730,10.0,8,0,4.0,2,3.0,6.0,1,7.9,99,2,Medium,2485.0,0.73,3.0,1.64,0.94,0.056,1,0,False,False,False,False,False,False,True
EMP0099,48,Female,Operations,Junior,16,25,40565,66.0,27,19,2.0,3,1.0,27.0,1,3.8,87,1,Low,1560.19,0.4,2.0,7.4,0.62,0.059,1,1,False,False,False,False,True,False,False
EMP0100,56,Female,Marketing,Lead,8,16,140828,86.0,9,18,3.0,1,2.0,18.0,2,7.0,32,2,Medium,8284.0,0.1,2.0,4.93,0.47,0.222,4,1,False,False,False,True,False,False,False
EMP0101,22,Male,Marketing,Junior,8,14,33990,6.0,16,13,5.0,2,1.0,19.0,0,4.7,87,2,Medium,2266.0,2.29,2.67,5.21,0.53,0.0,1,0,False,False,False,True,False,False,False
EMP0102,56,Female,IT,Junior,9,12,47573,22.0,2,16,2.0,5,2.0,11.0,3,6.0,98,1,Low,3659.46,0.09,3.0,3.01,0.69,0.3,1,1,False,False,True,False,False,False,False
EMP0103,58,Male,Sales,Lead,18,23,119073,60.0,6,13,5.0,5,5.0,6.0,2,7.4,19,3,High,4961.38,0.1,5.0,1.64,0.75,0.105,4,0,False,False,False,False,False,False,True
EMP0104,35,Male,Finance,Mid,14,15,54095,70.0,22,16,1.0,1,3.0,7.0,0,4.8,66,3,High,3380.94,0.31,1.67,1.92,0.88,0.0,2,0,True,False,False,False,False,False,False
EMP0105,24,Female,HR,Junior,4,10,44549,33.0,8,13,4.0,5,5.0,6.0,2,3.4,60,2,Medium,4049.91,0.24,4.67,1.64,0.36,0.4,1,1,False,True,False,False,False,False,False
EMP0106,22,Male,Sales,Junior,14,15,48259,18.0,26,11,2.0,5,2.0,5.0,0,3.1,66,2,Medium,3016.19,1.37,3.0,1.37,0.88,0.0,1,0,False,False,False,False,False,False,True
EMP0107,26,Male,Finance,Junior,19,28,49790,57.0,28,15,3.0,4,4.0,24.0,0,3.2,15,2,Medium,1716.9,0.48,3.67,6.58,0.66,0.0,1,0,True,False,False,False,False,False,False
EMP0108,47,Female,R&D,Junior,1,8,39979,8.0,5,0,1.0,3,5.0,8.0,3,3.1,85,1,Low,4442.11,0.56,3.0,2.19,0.11,1.5,1,1,False,False,False,False,False,True,False
EMP0109,35,Male,Marketing,Senior,12,19,100316,51.0,9,12,1.0,5,4.0,26.0,0,3.8,35,1,Low,5015.8,0.17,3.33,7.12,0.6,0.0,3,0,False,False,False,True,False,False,False
EMP0110,48,Female,Marketing,Junior,15,15,35408,81.0,1,5,5.0,4,2.0,12.0,1,4.7,69,2,Medium,2213.0,0.01,3.67,3.29,0.94,0.062,1,1,False,False,False,True,False,False,False
EMP0111,30,Male,R&D,Junior,14,21,43937,40.0,9,16,1.0,2,3.0,6.0,3,4.5,27,2,Medium,1997.14,0.22,2.0,1.64,0.64,0.2,1,0,False,False,False,False,False,True,False
EMP0112,36,Female,IT,Senior,9,10,103790,47.0,10,11,2.0,5,4.0,7.0,1,9.9,88,2,Medium,9435.45,0.21,3.67,1.92,0.82,0.1,3,1,False,False,True,False,False,False,False
EMP0113,36,Female,Finance,Senior,13,18,106756,44.0,23,18,5.0,2,2.0,21.0,2,5.1,7,3,High,5618.74,0.51,3.0,5.75,0.68,0.143,3,1,True,False,False,False,False,False,False
EMP0114,47,Female,R&D,Mid,9,9,77622,24.0,4,5,1.0,5,4.0,16.0,2,3.9,6,1,Low,7762.2,0.16,3.33,4.38,0.9,0.2,2,1,False,False,False,False,False,True,False
EMP0115,34,Female,Sales,Mid,13,17,52833,77.0,3,6,3.0,1,5.0,16.0,0,6.8,33,2,Medium,2935.17,0.04,3.0,4.38,0.72,0.0,2,1,False,False,False,False,False,False,True
EMP0116,53,Male,Marketing,Mid,8,14,55285,24.0,10,0,2.0,4,2.0,15.0,0,9.0,58,1,Low,3685.67,0.4,2.67,4.11,0.53,0.0,2,0,False,False,False,True,False,False,False
EMP0117,53,Female,Finance,Mid,13,22,59589,18.0,15,0,3.0,4,5.0,21.0,1,7.7,49,1,Low,2590.83,0.79,4.0,5.75,0.57,0.071,2,1,True,False,False,False,False,False,False
EMP0118,25,Male,Finance,Mid,2,2,64708,38.0,11,4,3.0,1,1.0,1.0,1,5.1,17,1,Low,21569.33,0.28,1.67,0.27,0.67,0.333,2,0,True,False,False,False,False,False,False
EMP0119,51,Male,Finance,Mid,19,20,64116,78.0,14,5,5.0,3,2.0,29.0,1,6.9,42,2,Medium,3053.14,0.18,3.33,7.95,0.9,0.05,2,0,True,False,False,False,False,False,False
EMP0120,58,Male,R&D,Lead,15,21,107645,79.0,6,15,3.0,4,4.0,14.0,2,8.0,94,3,High,4892.95,0.08,3.67,3.84,0.68,0.125,4,0,False,False,False,False,False,True,False
EMP0121,44,Female,Marketing,Junior,1,6,42018,26.0,12,15,5.0,2,1.0,16.0,1,8.1,72,2,Medium,6002.57,0.44,2.67,4.38,0.14,0.5,1,1,False,False,False,True,False,False,False
EMP0122,36,Male,Sales,Senior,9,11,109150,73.0,13,13,2.0,4,3.0,12.0,3,7.7,40,2,Medium,9095.83,0.18,3.0,3.29,0.75,0.3,3,0,False,False,False,False,False,False,True
EMP0123,50,Female,Operations,Junior,2,11,40889,62.0,17,0,2.0,3,5.0,17.0,3,9.1,46,3,High,3407.42,0.27,3.33,4.66,0.17,1.0,1,1,False,False,False,False,True,False,False
EMP0124,57,Female,IT,Senior,10,11,110286,67.0,16,12,5.0,2,3.0,23.0,2,9.1,71,3,High,9190.5,0.24,3.33,6.3,0.83,0.182,3,1,False,False,True,False,False,False,False
EMP0125,34,Female,IT,Senior,10,19,117545,18.0,3,19,4.0,2,1.0,27.0,1,7.1,70,1,Low,5877.25,0.16,2.33,7.4,0.5,0.091,3,1,False,False,True,False,False,False,False
EMP0126,53,Male,HR,Lead,12,15,115994,27.0,2,9,5.0,1,3.0,21.0,1,6.0,68,1,Low,7249.62,0.07,3.0,5.75,0.75,0.077,4,0,False,True,False,False,False,False,False
EMP0127,28,Female,HR,Junior,6,8,32735,84.0,11,9,2.0,5,4.0,27.0,0,7.5,1,2,Medium,3637.22,0.13,3.67,7.4,0.67,0.0,1,1,False,True,False,False,False,False,False
EMP0128,43,Male,IT,Mid,16,22,63611,77.0,29,8,4.0,1,5.0,9.0,3,8.7,79,3,High,2765.7,0.37,3.33,2.47,0.7,0.176,2,0,False,False,True,False,False,False,False
EMP0129,49,Male,R&D,Mid,1,8,74657,32.0,9,12,2.0,5,3.0,1.0,2,3.0,95,1,Low,8295.22,0.27,3.33,0.27,0.11,1.0,2,0,False,False,False,False,False,True,False
